iter	Passed	Remaining
0	2	596
1	5	567
2	8	554
3	11	549
4	14	568
5	17	552
6	19	545
7	22	540
8	25	537
9	28	540
10	31	538
11	34	534
12	36	530
13	39	531
14	42	529
15	46	530
16	49	528
17	51	525
18	54	521
19	57	518
20	61	520
21	64	518
22	67	516
23	70	513
24	72	509
25	75	506
26	78	505
27	82	503
28	84	498
29	87	496
30	90	495
31	94	497
32	97	495
33	101	494
34	104	493
35	107	491
36	111	491
37	115	491
38	119	491
39	122	488
40	125	488
41	129	485
42	132	483
43	135	480
44	138	477
45	141	474
46	144	471
47	148	470
48	151	466
49	154	462
50	157	459
51	160	455
52	163	452
53	166	449
54	168	445
55	171	441
56	174	438
57	178	435
58	181	433
59	184	430
60	187	426
61	190	423
62	193	420
63	196	416
64	199	413
65	201	409
66	204	406
67	208	404
68	211	400
69	214	397
70	217	395
71	220	391
72	223	388
73	226	385
74	229	382
75	232	378
76	235	375
77	238	372
78	241	369
79	244	366
80	247	363
81	250	360
82	253	357
83	256	354
84	259	351
85	262	348
86	265	345
87	268	341
88	271	339
89	275	336
90	278	333
91	281	329
92	283	326
93	287	323
94	290	320
95	292	317
96	295	314
97	298	311
98	302	308
99	305	305
100	308	301
101	310	298
102	314	295
103	317	292
104	320	290
105	323	287
106	327	284
107	330	281
108	333	278
109	337	276
110	341	273
111	344	270
112	347	267
113	351	264
114	354	261
115	358	259
116	361	256
117	364	253
118	368	250
119	372	248
120	376	245
121	379	242
122	382	239
123	385	236
124	388	233
125	391	230
126	394	226
127	397	223
128	400	220
129	403	217
130	406	214
131	409	210
132	412	207
133	415	204
134	418	201
135	421	198
136	424	195
137	427	191
138	430	188
139	433	185
140	436	182
141	438	179
142	441	176
143	444	172
144	447	169
145	450	166
146	454	163
147	457	160
148	460	157
149	464	154
150	467	151
151	471	148
152	474	145
153	477	142
154	481	139
155	484	136
156	488	133
157	491	130
158	495	127
159	498	124
160	502	121
161	505	118
162	508	115
163	511	112
164	514	109
165	517	105
166	520	102
167	523	99
168	527	96
169	530	93
170	533	90
171	536	87
172	539	84
173	542	81
174	545	77
175	548	74
176	551	71
177	554	68
178	557	65
179	560	62
180	563	59
181	566	56
182	569	52
183	572	49
184	575	46
185	578	43
186	581	40
187	584	37
188	587	34
189	590	31
190	593	27
191	596	24
192	599	21
193	602	18
194	605	15
195	608	12
196	611	9
197	614	6
198	617	3
199	619	0
