RENT_DT,USE_CNT
2021-01-01,21873
2021-01-02,23185
2021-01-03,21410
2021-01-04,32436
2021-01-05,28598
2021-01-06,21896
2021-01-07,5472
2021-01-08,7894
2021-01-09,8918
2021-01-10,10887
2021-01-11,19185
2021-01-12,12607
2021-01-13,19417
2021-01-14,32039
2021-01-15,31824
2021-01-16,22083
2021-01-17,17646
2021-01-18,17712
2021-01-19,26274
2021-01-20,36018
2021-01-21,16980
2021-01-22,34017
2021-01-23,42152
2021-01-24,48418
2021-01-25,53089
2021-01-26,25533
2021-01-27,44307
2021-01-28,22162
2021-01-29,23807
2021-01-30,27499
2021-01-31,37268
2021-02-01,39932
2021-02-02,30186
2021-02-03,30063
2021-02-04,19574
2021-02-05,36327
2021-02-06,39896
2021-02-07,34258
2021-02-08,33110
2021-02-09,39562
2021-02-10,44856
2021-02-11,36220
2021-02-12,36594
2021-02-13,49046
2021-02-14,42912
2021-02-15,31330
2021-02-16,22164
2021-02-17,22450
2021-02-18,29140
2021-02-19,43464
2021-02-20,58083
2021-02-21,68152
2021-02-22,52752
2021-02-23,43379
2021-02-24,52245
2021-02-25,51483
2021-02-26,64835
2021-02-27,72862
2021-02-28,60334
2021-03-01,2854
2021-03-02,48865
2021-03-03,59678
2021-03-04,63432
2021-03-05,73517
2021-03-06,59127
2021-03-07,68546
2021-03-08,68286
2021-03-09,69128
2021-03-10,73612
2021-03-11,70819
2021-03-12,64142
2021-03-13,75382
2021-03-14,69190
2021-03-15,69944
2021-03-16,67955
2021-03-17,78887
2021-03-18,81107
2021-03-19,93695
2021-03-20,24222
2021-03-21,52077
2021-03-22,71807
2021-03-23,80802
2021-03-24,86350
2021-03-25,88767
2021-03-26,91602
2021-03-27,19172
2021-03-28,30621
2021-03-29,70466
2021-03-30,92828
2021-03-31,106263
2021-04-01,109842
2021-04-02,104024
2021-04-03,13183
2021-04-04,88135
2021-04-05,103863
2021-04-06,107059
2021-04-07,106838
2021-04-08,98255
2021-04-09,106208
2021-04-10,103173
2021-04-11,105195
2021-04-12,26904
2021-04-13,78367
2021-04-14,91091
2021-04-15,101088
2021-04-16,76305
2021-04-17,66102
2021-04-18,92307
2021-04-19,100462
2021-04-20,105221
2021-04-21,110638
2021-04-22,108307
2021-04-23,107961
2021-04-24,110118
2021-04-25,117597
2021-04-26,112872
2021-04-27,96302
2021-04-28,106554
2021-04-29,97658
2021-04-30,27758
2021-05-01,37804
2021-05-02,105809
2021-05-03,112407
2021-05-04,22163
2021-05-05,114795
2021-05-06,111702
2021-05-07,80907
2021-05-08,67811
2021-05-09,104835
2021-05-10,85923
2021-05-11,119360
2021-05-12,119442
2021-05-13,117500
2021-05-14,117642
2021-05-15,32853
2021-05-16,2278
2021-05-17,54850
2021-05-18,116318
2021-05-19,121585
2021-05-20,61556
2021-05-21,71853
2021-05-22,117103
2021-05-23,104953
2021-05-24,112083
2021-05-25,84823
2021-05-26,109896
2021-05-27,67477
2021-05-28,71586
2021-05-29,57416
2021-05-30,83519
2021-05-31,89736
2021-06-01,110305
2021-06-02,130227
2021-06-03,41123
2021-06-04,131838
2021-06-05,127568
2021-06-06,116208
2021-06-07,121944
2021-06-08,129558
2021-06-09,126823
2021-06-10,82549
2021-06-11,120869
2021-06-12,116059
2021-06-13,103603
2021-06-14,128217
2021-06-15,97851
2021-06-16,139346
2021-06-17,115752
2021-06-18,78992
2021-06-19,122359
2021-06-20,114793
2021-06-21,138150
2021-06-22,124808
2021-06-23,126714
2021-06-24,133807
2021-07-01,138841
2021-07-02,137743
2021-07-03,51620
2021-07-04,34278
2021-07-05,137004
2021-07-06,141662
2021-07-07,120675
2021-07-08,120498
2021-07-09,133456
2021-07-10,108153
2021-07-11,83826
2021-07-12,127758
2021-07-13,127620
2021-07-14,122920
2021-07-15,103474
2021-07-16,104220
2021-07-17,104904
2021-07-18,93802
2021-07-19,95126
2021-07-20,120033
2021-07-21,117562
2021-07-22,114666
2021-07-23,113108
2021-07-24,91765
2021-07-25,80954
2021-07-26,113904
2021-07-27,113804
2021-07-28,108392
2021-07-29,111814
2021-07-30,113315
2021-07-31,90349
2021-08-01,41843
2021-08-02,99540
2021-08-03,117233
2021-08-04,117398
2021-08-05,118191
2021-08-06,117094
2021-08-07,109839
2021-08-08,74141
2021-08-09,126843
2021-08-10,130489
2021-08-11,126803
2021-08-12,105292
2021-08-13,133612
2021-08-14,126115
2021-08-15,117861
2021-08-16,114057
2021-08-17,82016
2021-08-18,118071
2021-08-19,143480
2021-08-20,137273
2021-08-21,40145
2021-08-22,119032
2021-08-23,46677
2021-08-24,40723
2021-08-25,119563
2021-08-26,120851
2021-08-27,84310
2021-08-28,132222
2021-08-29,119694
2021-08-30,140342
2021-08-31,24910
2021-09-01,120878
2021-09-02,137996
2021-09-03,152401
2021-09-04,147176
2021-09-05,137464
2021-09-06,73454
2021-09-07,14588
2021-09-08,138840
2021-09-09,144719
2021-09-10,140570
2021-09-11,135382
2021-09-12,127008
2021-09-13,141730
2021-09-14,143576
2021-09-15,145658
2021-09-16,145363
2021-09-17,149232
2021-09-18,128555
2021-09-19,112616
2021-09-20,104594
2021-09-21,77683
2021-09-22,116905
2021-09-23,145798
2021-09-24,151960
2021-09-25,143602
2021-09-26,139176
2021-09-27,126619
2021-09-28,89041
2021-09-29,57773
2021-09-30,145913
2021-10-01,138474
2021-10-02,136175
2021-10-03,135412
2021-10-04,75924
2021-10-05,119171
2021-10-06,79689
2021-10-07,116809
2021-10-08,70327
2021-10-09,122745
2021-10-10,36210
2021-10-11,122058
2021-10-12,136901
2021-10-13,146343
2021-10-14,145047
2021-10-15,128007
2021-10-16,83278
2021-10-17,69481
2021-10-18,89445
2021-10-19,105112
2021-10-20,116319
2021-10-21,116391
2021-10-22,121577
2021-10-23,107259
2021-10-24,99048
2021-10-25,116238
2021-10-26,125152
2021-10-27,123030
2021-10-28,126387
2021-10-29,129268
2021-10-30,111841
2021-10-31,96419
2021-11-01,119911
2021-11-02,128186
2021-11-03,129594
2021-11-04,123993
2021-11-05,130048
2021-11-06,118833
2021-11-07,111896
2021-11-08,18569
2021-11-09,38917
2021-11-10,82413
2021-11-11,93961
2021-11-12,93366
2021-11-13,89598
2021-11-14,88655
2021-11-15,107707
2021-11-16,108002
2021-11-17,108450
2021-11-18,105793
2021-11-19,113731
2021-11-20,87061
2021-11-21,65968
2021-11-22,72570
2021-11-23,73003
2021-11-24,87852
2021-11-25,91716
2021-11-26,85807
2021-11-27,71353
2021-11-28,66888
2021-11-29,94863
2021-11-30,28587
2021-12-01,62785
2021-12-02,65547
2021-12-03,70087
2021-12-04,59475
2021-12-05,58055
2021-12-06,84020
2021-12-07,89379
2021-12-08,90993
2021-12-09,88633
2021-12-10,73232
2021-12-11,69787
2021-12-12,46233
2021-12-13,62218
2021-12-14,56280
2021-12-15,67884
2021-12-16,80657
2021-12-17,48342
2021-12-18,23784
2021-12-19,19804
2021-12-20,63330
2021-12-21,71556
2021-12-22,73644
2021-12-23,75058
2021-12-24,55216
2021-12-25,18859
2021-12-26,16485
2021-12-27,42521
2021-12-28,51268
2021-12-29,52017
2021-12-30,48993
2021-12-31,40604
2022-01-01,29185
2022-01-02,28914
2022-01-03,53573
2022-01-04,56344
2022-01-05,57413
2022-01-06,59714
2022-01-07,60422
2022-01-08,45366
2022-01-09,38304
2022-01-10,58706
2022-01-11,39715
2022-01-12,45304
2022-01-13,43881
2022-01-14,50087
2022-01-15,41820
2022-01-16,32433
2022-01-17,36605
2022-01-18,46018
2022-01-19,27105
2022-01-20,41568
2022-01-21,51219
2022-01-22,44304
2022-01-23,41704
2022-01-24,63894
2022-01-25,47991
2022-01-26,63246
2022-01-27,59413
2022-01-28,56150
2022-01-29,38024
2022-01-30,31891
2022-01-31,29553
2022-02-01,14212
2022-02-02,28743
2022-02-03,46840
2022-02-04,45787
2022-02-05,31339
2022-02-06,31079
2022-02-07,52453
2022-02-08,58927
2022-02-09,62895
2022-02-10,64927
2022-02-11,67004
2022-02-12,58539
2022-02-13,52389
2022-02-14,46767
2022-02-15,47756
2022-02-16,42522
2022-02-17,46195
2022-02-18,56957
2022-02-19,39653
2022-02-20,30847
2022-02-21,48680
2022-02-22,48398
2022-02-23,47234
2022-02-24,53734
2022-02-25,61573
2022-02-26,38403
2022-02-27,52957
2022-02-28,72542
2022-03-01,49748
2022-03-02,70625
2022-03-03,77700
2022-03-04,72968
2022-03-05,55988
2022-03-06,53875
2022-03-07,72078
2022-03-08,81170
2022-03-09,88625
2022-03-10,86435
2022-03-11,97284
2022-03-12,80704
2022-03-13,37571
2022-03-14,48377
2022-03-15,90277
2022-03-16,98151
2022-03-17,76285
2022-03-18,77855
2022-03-19,33486
2022-03-20,67396
2022-03-21,84756
2022-03-22,96050
2022-03-23,86793
2022-03-24,94936
2022-03-25,80415
2022-03-26,61907
2022-03-27,86816
2022-03-28,104291
2022-03-29,112845
2022-03-30,87831
2022-03-31,110528
2022-04-01,117334
2022-04-02,107302
2022-04-03,111356
2022-04-04,117648
2022-04-05,122858
2022-04-06,127811
2022-04-07,126797
2022-04-08,143545
2022-04-09,148007
2022-04-10,150889
2022-04-11,151754
2022-04-12,119002
2022-04-13,92089
2022-04-14,122654
2022-04-15,141286
2022-04-16,134241
2022-04-17,129927
2022-04-18,139226
2022-04-19,144447
2022-04-20,148079
2022-04-21,149044
2022-04-22,129271
2022-04-23,146570
2022-04-24,133084
2022-04-25,129831
2022-04-26,152367
2022-04-27,156150
2022-04-28,157045
2022-04-29,115321
2022-04-30,125572
2022-05-01,123804
2022-05-02,155868
2022-05-03,161630
2022-05-04,169370
2022-05-05,161574
2022-05-06,167589
2022-05-07,143370
2022-05-08,83449
